cod_departamento,departamento,cod_candidato,candidato,partido,votos
16,BOGOTA D.C.,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,258400
16,BOGOTA D.C.,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,102451
16,BOGOTA D.C.,996,No Marcados,Sin partido / Voto especial,70220
16,BOGOTA D.C.,997,Votos Nulos,Sin partido / Voto especial,33257
16,BOGOTA D.C.,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,22003
16,BOGOTA D.C.,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,6320
16,BOGOTA D.C.,998,Votos en Blanco,Sin partido / Voto especial,5699
16,BOGOTA D.C.,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,3926
16,BOGOTA D.C.,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",2587
16,BOGOTA D.C.,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,1791
16,BOGOTA D.C.,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,729
16,BOGOTA D.C.,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
16,BOGOTA D.C.,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
17,CHOCO,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,109841
17,CHOCO,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,22832
17,CHOCO,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,5726
17,CHOCO,997,Votos Nulos,Sin partido / Voto especial,2439
17,CHOCO,996,No Marcados,Sin partido / Voto especial,2256
17,CHOCO,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,1199
17,CHOCO,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,953
17,CHOCO,998,Votos en Blanco,Sin partido / Voto especial,943
