cod_departamento,departamento,cod_municipio,municipio,cod_candidato,candidato,partido,votos
01,ANTIOQUIA,025,ANGOSTURA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,178
01,ANTIOQUIA,025,ANGOSTURA,996,No Marcados,Sin partido / Voto especial,128
01,ANTIOQUIA,025,ANGOSTURA,997,Votos Nulos,Sin partido / Voto especial,116
01,ANTIOQUIA,025,ANGOSTURA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,76
01,ANTIOQUIA,025,ANGOSTURA,998,Votos en Blanco,Sin partido / Voto especial,76
01,ANTIOQUIA,025,ANGOSTURA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,33
01,ANTIOQUIA,025,ANGOSTURA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,31
01,ANTIOQUIA,025,ANGOSTURA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,21
01,ANTIOQUIA,025,ANGOSTURA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",20
01,ANTIOQUIA,025,ANGOSTURA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,11
01,ANTIOQUIA,025,ANGOSTURA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,2
01,ANTIOQUIA,025,ANGOSTURA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,025,ANGOSTURA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,028,ANORI,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1808
01,ANTIOQUIA,028,ANORI,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,1275
01,ANTIOQUIA,028,ANORI,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,215
01,ANTIOQUIA,028,ANORI,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,152
01,ANTIOQUIA,028,ANORI,996,No Marcados,Sin partido / Voto especial,152
01,ANTIOQUIA,028,ANORI,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,99
01,ANTIOQUIA,028,ANORI,998,Votos en Blanco,Sin partido / Voto especial,34
01,ANTIOQUIA,028,ANORI,997,Votos Nulos,Sin partido / Voto especial,30
01,ANTIOQUIA,028,ANORI,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,14
01,ANTIOQUIA,028,ANORI,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,14
01,ANTIOQUIA,028,ANORI,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,10
01,ANTIOQUIA,028,ANORI,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",10
01,ANTIOQUIA,028,ANORI,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,8
01,ANTIOQUIA,028,ANORI,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,2
01,ANTIOQUIA,028,ANORI,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,028,ANORI,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,031,ANTIOQUIA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,5920
01,ANTIOQUIA,031,ANTIOQUIA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,3261
01,ANTIOQUIA,031,ANTIOQUIA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,1673
01,ANTIOQUIA,031,ANTIOQUIA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,566
01,ANTIOQUIA,031,ANTIOQUIA,996,No Marcados,Sin partido / Voto especial,318
01,ANTIOQUIA,031,ANTIOQUIA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,174
01,ANTIOQUIA,031,ANTIOQUIA,997,Votos Nulos,Sin partido / Voto especial,160
01,ANTIOQUIA,031,ANTIOQUIA,998,Votos en Blanco,Sin partido / Voto especial,82
01,ANTIOQUIA,031,ANTIOQUIA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,57
01,ANTIOQUIA,031,ANTIOQUIA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,38
01,ANTIOQUIA,031,ANTIOQUIA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,19
01,ANTIOQUIA,031,ANTIOQUIA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",14
01,ANTIOQUIA,031,ANTIOQUIA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,5
01,ANTIOQUIA,031,ANTIOQUIA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,2
01,ANTIOQUIA,031,ANTIOQUIA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,031,ANTIOQUIA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,034,ANZA,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,1809
01,ANTIOQUIA,034,ANZA,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,463
01,ANTIOQUIA,034,ANZA,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,400
01,ANTIOQUIA,034,ANZA,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,65
01,ANTIOQUIA,034,ANZA,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,60
01,ANTIOQUIA,034,ANZA,996,No Marcados,Sin partido / Voto especial,47
01,ANTIOQUIA,034,ANZA,998,Votos en Blanco,Sin partido / Voto especial,35
01,ANTIOQUIA,034,ANZA,997,Votos Nulos,Sin partido / Voto especial,23
01,ANTIOQUIA,034,ANZA,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,12
01,ANTIOQUIA,034,ANZA,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,11
01,ANTIOQUIA,034,ANZA,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,10
01,ANTIOQUIA,034,ANZA,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",9
01,ANTIOQUIA,034,ANZA,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,7
01,ANTIOQUIA,034,ANZA,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,034,ANZA,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,0
01,ANTIOQUIA,034,ANZA,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,035,APARTADO,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,32520
01,ANTIOQUIA,035,APARTADO,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,16665
01,ANTIOQUIA,035,APARTADO,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,2055
01,ANTIOQUIA,035,APARTADO,996,No Marcados,Sin partido / Voto especial,1389
01,ANTIOQUIA,035,APARTADO,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,1378
01,ANTIOQUIA,035,APARTADO,997,Votos Nulos,Sin partido / Voto especial,410
01,ANTIOQUIA,035,APARTADO,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,339
01,ANTIOQUIA,035,APARTADO,998,Votos en Blanco,Sin partido / Voto especial,191
01,ANTIOQUIA,035,APARTADO,002,CLAUDIA LÓPEZ,CON CLAUDIA IMPARABLES,140
01,ANTIOQUIA,035,APARTADO,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,102
01,ANTIOQUIA,035,APARTADO,007,SONDRA MACOLLINS GARVIN PINTO,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",43
01,ANTIOQUIA,035,APARTADO,006,MIGUEL URIBE LONDOÑO,PARTIDO DEMÓCRATA COLOMBIANO,37
01,ANTIOQUIA,035,APARTADO,008,ROY LEONARDO BARRERAS MONTEALEGRE,PARTIDO POLÍTICO LA FUERZA,25
01,ANTIOQUIA,035,APARTADO,010,GUSTAVO MATAMOROS CAMACHO,PARTIDO ECOLOGISTA COLOMBIANO,7
01,ANTIOQUIA,035,APARTADO,009,CARLOS EDUARDO CAICEDO OMAR,CAICEDO,0
01,ANTIOQUIA,035,APARTADO,013,LUIS GILBERTO MURILLO URRUTIA,LA OPORTUNIDAD ES COLOMBIA,0
01,ANTIOQUIA,037,ARBOLETES,004,ABELARDO DE LA ESPRIELLA,DEFENSORES DE LA PATRIA,4787
01,ANTIOQUIA,037,ARBOLETES,001,IVÁN CEPEDA CASTRO,MOVIMIENTO POLÍTICO PACTO HISTÓRICO,4120
01,ANTIOQUIA,037,ARBOLETES,011,PALOMA VALENCIA LASERNA,PARTIDO CENTRO DEMOCRÁTICO,419
01,ANTIOQUIA,037,ARBOLETES,012,SERGIO FAJARDO VALDERRAMA,PARTIDO POLÍTICO DIGNIDAD & COMPROMISO,159
01,ANTIOQUIA,037,ARBOLETES,996,No Marcados,Sin partido / Voto especial,93
01,ANTIOQUIA,037,ARBOLETES,003,RAÚL SANTIAGO BOTERO JARAMILLO,ROMPER EL SISTEMA,60
01,ANTIOQUIA,037,ARBOLETES,998,Votos en Blanco,Sin partido / Voto especial,46
01,ANTIOQUIA,037,ARBOLETES,997,Votos Nulos,Sin partido / Voto especial,42
01,ANTIOQUIA,037,ARBOLETES,005,ÓSCAR MAURICIO LIZCANO ARANGO,COALICIÓN F.A.M.I.L.I.A,28
